신뢰	ㅅㅣㄴㄹㅗㅣ	매우 맹렬한 우레.
망칠	ㅁㅏㅇㅊㅣㄹ	일흔을 바라본다는 뜻으로, 나이 예순한 살을 이르는 말.
말일	ㅁㅏㄹㅇㅣㄹ	2. =그믐날.
결론	ㄱㅕㄹㄹㅗㄴ	추론에 있어서 일정한 명제를 전제로 하여 이끌어 낸 판단.
한눈	ㅎㅏㄴㄴㅜㄴ	마땅히 볼 데를 보지 아니하고 딴 데를 보는 눈.
등반	ㄷㅡㅇㅂㅏㄴ	1. =이등분(二等分). 2. 두 분량이 같음.
정체	ㅈㅓㅇㅊㅓㅣ	보트의 몸체 부분. 또는 그 형체.
일할	ㅇㅣㄹㅎㅏㄹ	날짜를 여럿으로 갈라서 배정함.
분대	ㅂㅜㄴㄷㅏㅣ	1. 분을 바른 얼굴과 먹으로 그린 눈썹. 2. 화장한 아름다운 여자를 비유적으로 이르는 말. ≒분묵.
식품	ㅅㅣㄱㅍㅜㅁ	=먹음새.
신용	ㅅㅣㄴㅇㅛㅇ	신(神)과 같이 거룩한 용모.
아이비	ㅇㅏㅇㅣㅂㅣ	=담쟁이덩굴.
접속	ㅈㅓㅂㅅㅗㄱ	컴퓨터에서, 여러 개의 프로세서와 기억 장치 모듈 사이를 물리적으로 또는 전자 회로적으로 연결하는 일.
더하기	ㄷㅓㅎㅏㄱㅣ	덧셈을 함. ≒보태기·플러스(plus).
칼슘	ㅋㅏㄹㅅㅠㅁ	알칼리 토금속 원소의 하나. 대리석·석회석·방해석·형석·석고·백운석·인산염 따위에 많이 들어 있는 은백색의 연한 금속으로, 연성(延性)과 전성(展性)이 있고 산소·염소와 잘 화합하며 주황색의 불꽃 반응을 보인다. 동
속일	ㅅㅗㄱㅇㅣㄹ	일의 내막.
델타	ㄷㅓㅣㄹㅌㅏ	어떤 물질이 변태(變態)를 일으켰음을 이르는 말. 기호는 δ.
차우더	ㅊㅏㅇㅜㄷㅓ	미국의 대표적인 가정 요리의 하나. 생선의 살과 조개 따위를 주로 하여 양파, 감자, 베이컨 따위를 넣고 끓여 만든다.
방법	ㅂㅏㅇㅂㅓㅂ	객관적 진리에 이르기 위하여 사유 활동을 행하는 방식. 곧 사유 대상을 다루는 법을 이른다.
감독	ㄱㅏㅁㄷㅗㄱ	대한 제국 때에, 궁내부에 속한 칙임 벼슬. 수륜원, 철도원, 내장원, 비원, 광학국 따위에 두어 각 책임자의 업무를 돕게 하였다.
사이즈	ㅅㅏㅇㅣㅈㅡ	종이를 만들 때 물이나 잉크가 번지지 않도록 하기 위하여 원료에 섞거나 표면에 바르는 물질. 아교, 로진, 황산알루미늄, 요소 수지, 라민 수지 따위가 있다.
살길	ㅅㅏㄹㄱㅣㄹ	화살이 날아가는 길. ≒화살길.
등산	ㄷㅡㅇㅅㅏㄴ	중이 수도를 위하여 산에 들어가 머무름.
퇴역	ㅌㅗㅣㅇㅕㄱ	현역에 있다가 완전히 물러남. 또는 그런 일.
종족	ㅈㅗㅇㅈㅗㄱ	조상이 같고, 같은 계통의 언어·문화 따위를 가지고 있는 사회 집단.
평화	ㅍㅕㅇㅎㅗㅏ	굽이 없이 바닥이 평평한 신.
법대	ㅂㅓㅂㄷㅏㅣ	=법부대신.
전략	ㅈㅓㄴㄹㅑㄱ	=전신 약호.
오스카	ㅇㅗㅅㅡㅋㅏ	미국 아마추어 무선가를 위한 인공위성. 1961년 12월에 1호를 발사하였다.【oriting satellite carrying amateur radio】
시버트	ㅅㅣㅂㅓㅌㅡ	생물학적으로 인체에 영향을 미치는 방사선의 양을 나타내는 단위. 1시버트는 100렘에 해당한다. 기호는 Sv.
눈물	ㄴㅜㄴㅁㅜㄹ	눈이 녹아서 된 물. ≒설수.
