각둘	ㄱㅏㄱㄷㅜㄹ	윷놀이에서, 양편이 다 두 동임을 이르는 말.
각득	ㄱㅏㄱㄷㅡㄱ	깨달아 앎.
각등	ㄱㅏㄱㄷㅡㅇ	손으로 들고 다니는 네모진 등. ≒모등(―燈).
각띠	ㄱㅏㄱㄷㄷㅣ	예전에, 벼슬아치가 예복에 두르는 띠를 통틀어 이르던 말. ≒각대(角帶).
각래	ㄱㅏㄱㄹㅏㅣ	천도교에서, '깨달음'을 이르는 말.
각력	ㄱㅏㄱㄹㅕㄱ	'모자갈'을 전문적으로 이르는 말.
각렬	ㄱㅏㄱㄹㅕㄹ	서로 버티어 늘어섬.
각령	ㄱㅏㄱㄹㅕㅇ	도자기를 만드는 일을 맡아보던 공방.
각론	ㄱㅏㄱㄹㅗㄴ	
각린	ㄱㅏㄱㄹㅣㄴ	파충류나 조류에서 볼 수 있는 비늘 모양의 주름이 진 딱딱한 껍질. 피부가 변한 것으로 뱀, 도마뱀 따위의 몸 표면이나 새의 다리에서 볼 수 있다.
각립	ㄱㅏㄱㄹㅣㅂ	1. 여럿 가운데 어떤 하나가 특히 뛰어나 보임. 2. 둘 이상의 무리가 서로 맞버티어 굴복하지 아니함.
각막	ㄱㅏㄱㅁㅏㄱ	눈알의 앞쪽에 약간 볼록하게 나와 있는 투명한 막. 몇 층의 막으로 되어 있는 것으로, 이 기관을 통하여 빛이 눈으로 들어간다. ≒안막(眼膜).
각명	ㄱㅏㄱㅁㅕㅇ	1. 각 사람의 이름. 2. 각각의 사람. 또는 여러 사람.
각목	ㄱㅏㄱㅁㅗㄱ	
각문	ㄱㅏㄱㅁㅜㄴ	1. 편전(便殿)의 앞문. ≒합문(閤門) . 2. 고려 시대에, 조회의 의례를 맡아보던 관아. 뒤에 여러 차례 고친 후, 충렬왕 1년(1275)에 통례문으로 고쳤다. ≒합문 .
각반	ㄱㅏㄱㅂㅏㄴ	
각발	ㄱㅏㄱㅂㅏㄹ	다리나 발에 생기는 큰 종기.
각방	ㄱㅏㄱㅂㅏㅇ	각 나라. 또는 여러 나라.
각배	ㄱㅏㄱㅂㅏㅣ	=뿔잔 .
각벌	ㄱㅏㄱㅂㅓㄹ	옷이나 서류 뭉치 따위를 따로따로 나누어 꾸린 것.
각법	ㄱㅏㄱㅂㅓㅂ	부항을 붙이는 치료법. 짐승의 뿔로 부항단지를 만들어 썼던 데서 유래한다.
각별	ㄱㅏㄱㅂㅕㄹ	
각본	ㄱㅏㄱㅂㅗㄴ	
각봉	ㄱㅏㄱㅂㅗㅇ	따로따로 싸서 봉함. 또는 그런 것.
